351500002-13M2S2,ELABORA MANTENIMIENTO PREVENTIVO Y CORRECTIVO A LA CALEFACCIÓN Y AIRE ACONDICIONADO DEL AUTOMÓVIL,ESP
351500002-13M2S3,REALIZA MANTENIMIENTO PREVENTIVO Y CORRECTIVO A LOS SISTEMAS DE ENFRIAMIENTO Y LUBRICACIÓN DEL MOTOR,ESP
351500002-13M3,MÓDULO III. MANTIENE LOS SISTEMAS DE CONTROL ELECTRÓNICO DEL MOTOR DE COMBUSTIÓN INTERNA,ESP
351500002-13M3S1,CORRIGE FALLAS DE LOS SISTEMAS DE INYECCIÓN ELECTRÓNICA DE LOS MOTORES DE GASOLINA Y DIESEL,ESP
351500002-13M3S2,MANTIENE LAS EMISIONES CONTAMINANTES DENTRO DE LAS ESPECIFICACIONES DEL FABRICANTE,ESP
351500002-13M3S3,DIAGNOSTICA EL FUNCIONAMIENTO DE LOS SISTEMAS DE ENCENDIDO ELECTRÓNICO Y COMPUTARIZADO DEL MOTOR,ESP
351500002-13M4,MÓDULO IV. MANTIENE EL SISTEMA DE TRANSMISIÓN DEL AUTOMÓVIL,ESP
351500002-13M4S1,REALIZA SERVICIO DE MANTENIMIENTO AL SISTEMA DE TRANSMISIÓN TRANSEJE MANUAL SEGÚN ESPECIFICACIONES DEL FABRICANTE,ESP
351500002-13M4S2,MANTIENE AL SISTEMA DE TRANSMISIÓN Y TRANSEJE AUTOMÁTICO SEGÚN ESPECIFICACIONES DEL FABRICANTE,ESP
351500002-13M5,MÓDULO V. MANTIENE LOS SISTEMAS DE SUSPENSIÓN. DIRECCIÓN Y FRENOS DEL AUTOMÓVIL,ESP
351500002-13M5S1,MANTIENE LOS SISTEMAS DE SUSPENSIÓN Y DIRECCIÓN DEL AUTOMÓVIL,ESP
351500002-13M5S2,MANTIENE LOS SISTEMAS DE FRENOS EN CONDICIONES DE OPERACIÓN,ESP
344100002-13M1,MÓDULO I. DESARROLLA E INSTALA SOFTWARE DE APLICACIÓN UTILIZANDO PROGRAMACIÓN ESTRUCTURADA. CON ALMACENAMIENTO PERSISTENTE DE LOS DATOS,ESP
344100002-13M1S1,DESARROLLA SOFTWARE UTILIZANDO PROGRAMACIÓN ESTRUCTURADA,ESP
344100002-13M1S2,DISEÑA Y ADMINISTRA BASES DE DATOS SIMPLES,ESP
344100002-13M2,MÓDULO II. DESARROLLA SOFTWARE DE APLICACIÓN UTILIZANDO PROGRAMACIÓN ORIENTADA A OBJETOS. CON ALMACENAMIENTO PERSISTENTE DE LOS DATOS,ESP
344100002-13M2S1,DESARROLLA SOFTWARE DE APLICACIÓN UTILIZANDO PROGRAMACIÓN ORIENTADA A OBJETOS,ESP
344100002-13M2S2,DISEÑA Y ADMINISTRA BASES DE DATOS AVANZADAS,ESP
344100002-13M3,MÓDULO III. DESARROLLA APLICACIONES WEB Y MÓVILES,ESP
344100002-13M3S1,DESARROLLA APLICACIONES WEB,ESP
344100002-13M3S2,DESARROLLA APLICACIONES MÓVILES,ESP
344100002-13M4,MÓDULO IV. ADMINISTRA SISTEMAS OPERATIVOS. DE APLICACIONES Y SERVICIOS,ESP
344100002-13M4S1,ADMINISTRA SISTEMAS OPERATIVOS,ESP
344100002-13M4S2,INSTALA Y CONFIGURA APLICACIONES Y SERVICIOS,ESP
344100002-13M5,MÓDULO V. DESARROLLA. ADMINISTRA Y CONFIGURA SOLUCIONES DE E-LEARNING Y COMERCIO ELECTRÓNICO,ESP
344100002-13M5S1,ADMINISTRA Y CONFIGURA PLATAFORMAS DE ELEARNING,ESP
344100002-13M5S2,DESARROLLA SOLUCIONES DE COMERCIO ELECTRÓNICO,ESP
381400001-13M1,MÓDULO I. TRANSCRIBE LA INFORMACIÓN INDICADA POR EL EJECUTIVO,ESP
381400001-13M1S1,TOMA NOTAS UTILIZANDO LA TAQUIGRAFÍA PARA ELABORAR DOCUMENTOS,ESP
381400001-13M1S2,TRADUCE DOCUMENTOS EJECUTIVOS EN ESPAÑOL E INGLÉS,ESP
381400001-13M1S3,TRANSCRIBE TEXTOS CON TÉCNICAS MECANOGRÁFICAS,ESP
381400001-13M2,MÓDULO II. DIGITALIZA DOCUMENTOS DE OFICINA,ESP
381400001-13M2S1,REDACTA DOCUMENTOS DE OFICINA EN ESPAÑOL E INGLÉS,ESP
381400001-13M2S2,ELABORA DOCUMENTOS DE OFICINA EN ESPAÑOL E INGLÉS CON TÉCNICAS MECANOGRÁFICAS,ESP
381400001-13M3,MÓDULO III. MANEJA LA INFORMACIÓN VERBAL Y ESCRITA,ESP
381400001-13M3S1,MANEJA CORRESPONDENCIA DE OFICINA,ESP
381400001-13M3S2,ATIENDE AL CLIENTE ENESPAÑOL E INGLÉS,ESP
381400001-13M4,MÓDULO IV. ESTABLECE COMUNICACIÓN INTERNA Y EXTERNA,ESP
381400001-13M4S1,SE COMUNICA USANDO TÉCNICAS DE EXPRESIÓN ORAL,ESP
381400001-13M4S2,SE COMUNICA USANDO ESTRATEGIAS DE PERSONALIDAD EJECUTIVA,ESP
381400001-13M5,MÓDULO V. COORDINA REUNIONES EJECUTIVAS Y SOCIALES,ESP
381400001-13M5S1,PLANEA EVENTOS LABORALES EN ESPAÑOL E INGLÉS,ESP
381400001-13M5S2,APOYA LA OPERACIÓN DE EVENTOS LABORALES,ESP
344100001-13M1,MÓDULO I. GESTIONA SISTEMAS OPERATIVOS DE LA OFIMÁTICA,ESP
344100001-13M1S1,INSTALA Y CONFIGURA SISTEMAS OPERATIVOS DE LA OFIMÁTICA,ESP
344100001-13M1S2,GESTIONA ARCHIVOS Y DISPOSITIVOS OFIMÁTICOS,ESP
344100001-13M2,MÓDULO II. GESTIONA INFORMACIÓN DE MANERA LOCAL,ESP
344100001-13M2S1,GESTIONA INFORMACIÓN MEDIANTE EL USO DE PROCESADORES DE TEXTO,ESP
344100001-13M2S2,GESTIONA INFORMACIÓN MEDIANTE EL USO DE PROCESADORES DE HOJAS DE CÁLCULO,ESP
344100001-13M2S3,GESTIONA INFORMACIÓN MEDIANTE EL USO DE SOFTWARE DE PRESENTACIONES,ESP
344100001-13M3,MÓDULO III. GESTIONA INFORMACIÓN DE MANERA REMOTA,ESP
344100001-13M3S1,GESTIONA INFORMACIÓN MEDIANTE EL USO DE SOFTWARE EN LÍNEA,ESP
344100001-13M3S2,GESTIONA RECURSOS MEDIANTE EL USO DE REDES DE COMPUTADORAS,ESP
344100001-13M4,MÓDULO IV. DISEÑA Y GESTIONA BASES DE DATOS OFIMÁTICAS,ESP
344100001-13M4S1,DISEÑA BASES DE DATOS OFIMÁTICAS,ESP
344100001-13M4S2,GESTIONA INFORMACIÓN MEDIANTE EL USO DE SISTEMAS MANEJADORES DE BASES DE DATOS OFIMÁTICAS,ESP
344100001-13M5,MÓDULO V. INSTALA Y OPERA EQUIPOS DE CÓMPUTO Y PERIFÉRICOS UTILIZADOS EN LA OFIMÁTICA,ESP
344100001-13M5S1,INSTALA Y CONFIGURA EQUIPOS DE CÓMPUTO Y PERIFÉRICOS,ESP
344100001-13M5S2,ESTABLECE COMUNICACIÓN Y GESTIONA INFORMACIÓN MEDIANTE EL USO DE DISPOSITIVOS MÓVILES,ESP
333400001-16M1S1,REGISTRA INFORMACIÓN CONTABLE DE DIVERSAS ENTIDADES ECONÓMICAS,ESP
333400001-16M1S2,FORMULA ESTADOS FINANCIEROS DE LAS EMPRESAS,ESP
351300001-16M1S2,IMPLEMENTA SISTEMAS ELECTRÓNICOS ANALÓGICOS,ESP
351300001-16M1S1,MIDE E INTERPRETA LOS PARÁMETROS DE SISTEMAS ELÉCTRICOS,ESP
351500002-16M1S1,MANTIENE EL SISTEMA ELÉCTRICO DEL AUTOMÓVIL,ESP
351500002-16M1S2,MANTIENE EL SISTEMA ELECTRÓNICO DEL AUTOMÓVIL,ESP
